Topo,Z,Corr,Theta,L,b,Update,K,VigilanceMode,Cost,C_mean,C_std,V_mean,V_std
BA,4,max,0.6,2,1.4,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.6,2,1.5,proportional,,amnesic,0.0,0.9975706666666666,0.002985518678182586,0.0,0.0
BA,4,max,0.6,2,1.6,proportional,,amnesic,0.0,0.9987833333333334,0.004335263621357549,0.0,0.0
BA,4,max,0.6,2,1.7,proportional,,amnesic,0.0,0.9523846000000001,0.13604292636499377,0.0,0.0
BA,4,max,0.6,2,1.8,proportional,,amnesic,0.0,0.9192080666666669,0.1310187803613411,0.0,0.0
BA,4,max,0.6,2,1.9,proportional,,amnesic,0.0,0.8737508666666669,0.12597935543626892,0.0,0.0
BA,4,max,0.6,2,2.0,proportional,,amnesic,0.0,0.6962380666666667,0.17763991435183957,0.0,0.0
BA,4,max,0.6,2,1.0,proportional,,memory,0.0,0.9926969333333341,0.002501127642573305,0.06078,0.04020238301394583
BA,4,max,0.6,2,1.1,proportional,,memory,0.0,0.9999575999999999,0.0002969497076761022,0.048920000000000005,0.03460106356746856
BA,4,max,0.6,2,1.2,proportional,,memory,0.0,1.0,0.0,0.045460000000000014,0.0364832619155689
BA,4,max,0.6,2,1.3,proportional,,memory,0.0,0.9999799999999999,0.00019899748742136831,0.039619999999999995,0.030885200339321097
BA,4,max,0.6,2,1.4,proportional,,memory,0.0,1.0,0.0,0.034659999999999996,0.027222130702794008
BA,4,max,0.6,2,1.5,proportional,,memory,0.0,0.9988577999999998,0.0019755276212248198,0.030539999999999998,0.02654333061241562
BA,4,max,0.6,2,1.6,proportional,,memory,0.0,0.9893837333333334,0.09827852202262259,0.0251,0.023245429658322086
BA,4,max,0.6,2,1.7,proportional,,memory,0.0,0.9558658666666667,0.13658818086587465,0.020439999999999996,0.018909426220803213
BA,4,max,0.6,2,1.8,proportional,,memory,0.0,0.9371816000000003,0.09423653443505281,0.01788,0.01785008683452268
BA,4,max,0.6,2,1.9,proportional,,memory,0.0,0.8835876,0.1276232835044696,0.014020000000000003,0.015203933701512908
BA,4,max,0.6,2,2.0,proportional,,memory,0.0,0.7435359333333333,0.15721125589019808,0.01044,0.010421439439923835
BA,4,max,0.6,3,1.0,proportional,,amnesic,0.0,0.9926969333333341,0.002501127642573305,0.0,0.0
BA,4,max,0.6,3,1.1,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.6,3,1.2,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
