Topo,b,Cost_Pct,C_mean,C_std,V_mean
ER,1.25,0.04,0.19268000000000002,0.03326646359323455,0.0
ER,1.3,0.04,0.1482,0.02751363298439521,0.0
ER,1.0,0.045,1.0,0.0,0.0
ER,1.05,0.045,1.0,0.0,0.0
ER,1.1,0.045,1.0,0.0,0.0
ER,1.15,0.045,0.41336000000000006,0.06466088771428985,0.0
ER,1.2,0.045,0.2672,0.03985975413872996,0.0
ER,1.25,0.045,0.19268000000000002,0.03326646359323455,0.0
ER,1.3,0.045,0.1482,0.02751363298439521,0.0
ER,1.0,0.05,1.0,0.0,0.0
ER,1.05,0.05,1.0,0.0,0.0
ER,1.1,0.05,1.0,0.0,0.0
ER,1.15,0.05,0.41336000000000006,0.06466088771428985,0.0
ER,1.2,0.05,0.2672,0.03985975413872996,0.0
ER,1.25,0.05,0.19108,0.03228426241994697,0.0
ER,1.3,0.05,0.1482,0.02751363298439521,0.0
BA,1.4,0.0,1.0,0.0,0.0
BA,1.5,0.0,0.9971546666666667,0.003580023587755917,0.0
BA,1.6,0.0,0.9793977333333334,0.13993868632994633,0.0
BA,1.7,0.0,0.97648,0.020062143454775732,0.0
BA,1.8,0.0,0.92256,0.13335428901988866,0.0
BA,1.9,0.0,0.86992,0.12889310920293606,0.0
BA,2.0,0.0,0.6900800000000001,0.20236322195497877,0.0
BA,1.4,0.005,1.0,0.0,0.0
BA,1.5,0.005,0.9777575999999999,0.13971744845944536,0.0
BA,1.6,0.005,0.9794000000000002,0.13994527501848714,0.0
BA,1.7,0.005,0.96,0.13852364419116328,0.0
BA,1.8,0.005,0.92096,0.13299698643202407,0.0
BA,1.9,0.005,0.8748400000000001,0.12947653995994796,0.0
BA,2.0,0.005,0.6828400000000001,0.2033602084971394,0.0
BA,1.4,0.01,1.0,0.0,0.0
BA,1.5,0.01,0.9777575999999999,0.13971744845944536,0.0
BA,1.6,0.01,0.9794000000000002,0.13994527501848714,0.0
BA,1.7,0.01,0.9606800000000001,0.13860540249211067,0.0
BA,1.8,0.01,0.92096,0.13299698643202407,0.0
BA,1.9,0.01,0.8748400000000001,0.12947653995994796,0.0
BA,2.0,0.01,0.6828400000000001,0.2033602084971394,0.0
BA,1.4,0.015,1.0,0.0,0.0
BA,1.5,0.015,0.9777575999999999,0.13971744845944536,0.0
BA,1.6,0.015,0.9794000000000002,0.13994527501848714,0.0
BA,1.7,0.015,0.9602,0.13854457766365308,0.0
BA,1.8,0.015,0.92096,0.13299698643202407,0.0
BA,1.9,0.015,0.8748400000000001,0.12947653995994796,0.0
BA,2.0,0.015,0.6828400000000001,0.2033602084971394,0.0
BA,1.4,0.02,1.0,0.0,0.0
BA,1.5,0.02,0.9778775999999999,0.13973392279621216,0.0
BA,1.6,0.02,0.9794000000000002,0.13994527501848714,0.0
BA,1.7,0.02,0.9599199999999999,0.13850340645630344,0.0
BA,1.8,0.02,0.9205599999999998,0.13296438019259144,0.0
BA,1.9,0.02,0.8748400000000001,0.12947653995994796,0.0
BA,2.0,0.02,0.6828400000000001,0.2033602084971394,0.0
BA,1.4,0.025,1.0,0.0,0.0
BA,1.5,0.025,0.9778775999999999,0.13973392279621216,0.0
BA,1.6,0.025,0.9794000000000002,0.13994527501848714,0.0
BA,1.7,0.025,0.9603200000000001,0.13846839928301333,0.0
BA,1.8,0.025,0.9208399999999999,0.13301133184807976,0.0
BA,1.9,0.025,0.8748400000000001,0.12947653995994796,0.0
BA,2.0,0.025,0.6828400000000001,0.2033602084971394,0.0
BA,1.4,0.03,1.0,0.0,0.0
BA,1.5,0.03,0.9778775999999999,0.13973392279621216,0.0
BA,1.6,0.03,0.9794000000000002,0.13994527501848714,0.0
BA,1.7,0.03,0.9597200000000001,0.13839480337064683,0.0
BA,1.8,0.03,0.9200399999999999,0.13300194885790206,0.0
BA,1.9,0.03,0.8748400000000001,0.12947653995994796,0.0
BA,2.0,0.03,0.6828400000000001,0.2033602084971394,0.0
BA,1.4,0.035,1.0,0.0,0.0
BA,1.5,0.035,0.9778775999999999,0.13973392279621216,0.0
BA,1.6,0.035,0.9794000000000002,0.13994527501848714,0.0
BA,1.7,0.035,0.9597200000000001,0.13839480337064683,0.0
BA,1.8,0.035,0.9205199999999999,0.1330514547083195,0.0
BA,1.9,0.035,0.8744000000000001,0.1293460474850314,0.0
BA,2.0,0.035,0.68208,0.20307396091079724,0.0
BA,1.4,0.04,1.0,0.0,0.0
BA,1.5,0.04,0.9778775999999999,0.13973392279621216,0.0
BA,1.6,0.04,0.9794000000000002,0.13994527501848714,0.0
BA,1.7,0.04,0.95976,0.13849397965254662,0.0
BA,1.8,0.04,0.9203600000000001,0.13303274183448224,0.0
BA,1.9,0.04,0.8744000000000001,0.1293460474850314,0.0
BA,2.0,0.04,0.68208,0.20307396091079724,0.0
BA,1.4,0.045,1.0,0.0,0.0
BA,1.5,0.045,0.9778775999999999,0.13973392279621216,0.0
BA,1.6,0.045,0.9794000000000002,0.13994527501848714,0.0
BA,1.7,0.045,0.95976,0.13849397965254662,0.0
BA,1.8,0.045,0.9205199999999999,0.13307309870894266,0.0
BA,1.9,0.045,0.8735200000000001,0.12927772275222055,0.0
BA,2.0,0.045,0.68208,0.20307396091079724,0.0
BA,1.4,0.05,1.0,0.0,0.0
BA,1.5,0.05,0.9778775999999999,0.13973392279621216,0.0
BA,1.6,0.05,0.9794000000000002,0.13994527501848714,0.0
BA,1.7,0.05,0.95976,0.13849397965254662,0.0
BA,1.8,0.05,0.9205199999999999,0.13307309870894266,0.0
BA,1.9,0.05,0.8735200000000001,0.12927772275222055,0.0
BA,2.0,0.05,0.6818000000000001,0.20310283109794408,0.0
