Topo,Z,Corr,Lmax,K,Theta,Lambda,b,REPS,STEPS,C_mean,C_std,SE_C,V_mean,V_std,SE_V
BA,4,max,1,0.5,0.0,0.7,1.7,50,15000,1.0,0.0,0.0,0.99708,0.0016104657711357932,0.00022775425352778835
BA,4,max,1,0.5,0.0,0.7,1.8,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9772399999999999,0.13932803881487746,0.01970396021108447
BA,4,max,1,0.5,0.0,0.7,1.9,50,15000,1.0,0.0,0.0,0.99704,0.0015094369811290578,0.00021346662502602152
BA,4,max,1,0.5,0.0,0.7,2.0,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9765199999999998,0.1383732980021796,0.019568939470497627
BA,4,max,1,0.5,0.0,1.0,1.0,50,15000,1.0,0.0,0.0,0.9968400000000002,0.0018800000000000017,0.0002658721497261421
BA,4,max,1,0.5,0.0,1.0,1.1,50,15000,1.0,0.0,0.0,0.9966400000000002,0.002095328136593409,0.0002963241468392344
BA,4,max,1,0.5,0.0,1.0,1.2,50,15000,1.0,0.0,0.0,0.99668,0.0022489108474992975,0.00031804402211014777
BA,4,max,1,0.5,0.0,1.0,1.3,50,15000,1.0,0.0,0.0,0.9971599999999999,0.0013320660644277383,0.00018838258942906606
BA,4,max,1,0.5,0.0,1.0,1.4,50,15000,1.0,0.0,0.0,0.99684,0.0020819221887476984,0.0002944282595132474
BA,4,max,1,0.5,0.0,1.0,1.5,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.97732,0.13905372199261695,0.01966516595404168
BA,4,max,1,0.5,0.0,1.0,1.6,50,15000,1.0,0.0,0.0,0.99712,0.0015574337867145442,0.00022025439836697945
BA,4,max,1,0.5,0.0,1.0,1.7,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.95748,0.1940238377107308,0.027439114271419186
BA,4,max,1,0.5,0.0,1.0,1.8,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9774800000000002,0.13793320702426953,0.019506701207533783
BA,4,max,1,0.5,0.0,1.0,1.9,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.97708,0.13787658829547528,0.01949869411011927
BA,4,max,1,0.5,0.0,1.0,2.0,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.97728,0.137904175426272,0.019502595519571238
BA,4,max,1,0.5,0.0,2.0,1.0,50,15000,1.0,0.0,0.0,0.9963199999999999,0.0024449130863897824,0.00034576292455958926
BA,4,max,1,0.5,0.0,2.0,1.1,50,15000,1.0,0.0,0.0,0.9966799999999999,0.0022130521909796905,0.0003129728422722971
BA,4,max,1,0.5,0.0,2.0,1.2,50,15000,1.0,0.0,0.0,0.9967999999999998,0.0016492422502470657,0.0002332380757938122
BA,4,max,1,0.5,0.0,2.0,1.3,50,15000,1.0,0.0,0.0,0.9965999999999999,0.0019287301521985925,0.0002727636339397173
BA,4,max,1,0.5,0.0,2.0,1.4,50,15000,1.0,0.0,0.0,0.99692,0.0016593974810153247,0.00023467424230196228
BA,4,max,1,0.5,0.0,2.0,1.5,50,15000,1.0,0.0,0.0,0.99676,0.0016918628786045295,0.0002392655428598111
BA,4,max,1,0.5,0.0,2.0,1.6,50,15000,1.0,0.0,0.0,0.9965999999999999,0.0018867962264113225,0.0002668332812825269
BA,4,max,1,0.5,0.0,2.0,1.7,50,15000,1.0,0.0,0.0,0.99676,0.0015435025105259804,0.00021828421839427623
BA,4,max,1,0.5,0.0,2.0,1.8,50,15000,1.0,0.0,0.0,0.9967199999999999,0.0015879546593023381,0.0002245707015618914
BA,4,max,1,0.5,0.0,2.0,1.9,50,15000,1.0,0.0,0.0,0.99684,0.0016536021286875523,0.00023385465571589564
