Topo,Z,Corr,Lmax,K,Theta,Lambda,b,REPS,STEPS,C_mean,C_std,SE_C,V_mean,V_std,SE_V
BA,4,max,4,0.5,0.1,0.0,1.6,50,15000,1.0,0.0,0.0,0.9571199999999999,0.19537457767068878,0.02763013774848037
BA,4,max,4,0.5,0.1,0.0,1.7,50,15000,1.0,0.0,0.0,0.9376400000000001,0.23689244479299038,0.03350165082499667
BA,4,max,4,0.5,0.1,0.0,1.8,50,15000,0.9753917333333334,0.14302530998119803,0.020226833313802626,0.93744,0.2368432528065767,0.033494694027562034
BA,4,max,4,0.5,0.1,0.0,1.9,50,15000,0.9570081333333333,0.1642259718168299,0.023225059663726254,0.9176000000000001,0.2705881002557208,0.038266936119841104
BA,4,max,4,0.5,0.1,0.0,2.0,50,15000,0.9503878666666666,0.17936085356963116,0.025365455167698715,0.9170800000000001,0.2704373376588373,0.03824561506891999
BA,4,max,4,0.5,0.1,0.1,1.0,50,15000,1.0,0.0,0.0,0.99684,0.001836954000512807,0.0002597845260980725
BA,4,max,4,0.5,0.1,0.1,1.1,50,15000,1.0,0.0,0.0,0.9968,0.0019183326093250898,0.000271293199325011
BA,4,max,4,0.5,0.1,0.1,1.2,50,15000,1.0,0.0,0.0,0.9968,0.0017888543819998336,0.0002529822128134706
BA,4,max,4,0.5,0.1,0.1,1.3,50,15000,1.0,0.0,0.0,0.997,0.0015099668870541512,0.0002135415650406264
BA,4,max,4,0.5,0.1,0.1,1.4,50,15000,1.0,0.0,0.0,0.99708,0.001397712416772493,0.00019766638560969352
BA,4,max,4,0.5,0.1,0.1,1.5,50,15000,1.0,0.0,0.0,0.99684,0.0016536021286875523,0.00023385465571589564
BA,4,max,4,0.5,0.1,0.1,1.6,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9370800000000001,0.23675581006598337,0.03348232775659422
BA,4,max,4,0.5,0.1,0.1,1.7,50,15000,1.0,0.0,0.0,0.9568000000000001,0.1953196354696578,0.027622367747895907
BA,4,max,4,0.5,0.1,0.1,1.8,50,15000,0.94,0.23748684174075835,0.03358571124749333,0.9372,0.236447372580031,0.03343870810901641
BA,4,max,4,0.5,0.1,0.1,1.9,50,15000,0.9253650666666665,0.24464474070895353,0.03459799102738513,0.8975200000000001,0.2991760846057051,0.04230988763870687
BA,4,max,4,0.5,0.1,0.1,2.0,50,15000,0.9445452,0.1808203699207955,0.025571861949530903,0.8974399999999999,0.2991494716692643,0.042306124001141955
BA,4,max,4,0.5,0.1,0.2,1.0,50,15000,1.0,0.0,0.0,0.9965999999999999,0.0020099751242241798,0.00028425340807103816
BA,4,max,4,0.5,0.1,0.2,1.1,50,15000,1.0,0.0,0.0,0.9964400000000001,0.001971395444856259,0.00027879741749162624
BA,4,max,4,0.5,0.1,0.2,1.2,50,15000,1.0,0.0,0.0,0.9965199999999999,0.002032141727340888,0.0002873882391469772
BA,4,max,4,0.5,0.1,0.2,1.3,50,15000,1.0,0.0,0.0,0.997,0.0017088007490635077,0.00024166091947189165
BA,4,max,4,0.5,0.1,0.2,1.4,50,15000,1.0,0.0,0.0,0.99696,0.0016608431593621372,0.00023487869209445138
BA,4,max,4,0.5,0.1,0.2,1.5,50,15000,1.0,0.0,0.0,0.9967599999999999,0.001955095905575992,0.00027649231454056756
BA,4,max,4,0.5,0.1,0.2,1.6,50,15000,1.0,0.0,0.0,0.9772,0.1396074496579606,0.0197434748714607
BA,4,max,4,0.5,0.1,0.2,1.7,50,15000,1.0,0.0,0.0,0.99724,0.0010499523798725358,0.0001484856895461648
BA,4,max,4,0.5,0.1,0.2,1.8,50,15000,0.9975296,0.01729279999999985,0.002445571229140525,0.9767999999999999,0.1395535739420528,0.019735855694648762
BA,4,max,4,0.5,0.1,0.2,1.9,50,15000,0.9937583999999999,0.043691200000000076,0.006178868759635548,0.9766800000000001,0.13953729823957464,0.019733553962730584
BA,4,max,4,0.5,0.1,0.2,2.0,50,15000,0.9914055999999999,0.0601607999999999,0.008508021928321516,0.97648,0.13950745356431676,0.019729333288279152
BA,4,max,4,0.5,0.1,0.5,1.0,50,15000,1.0,0.0,0.0,0.9966799999999999,0.0019019989484750002,0.0002689832708552711
BA,4,max,4,0.5,0.1,0.5,1.1,50,15000,1.0,0.0,0.0,0.9968400000000002,0.0016044936896105278,0.00022690967365892554
BA,4,max,4,0.5,0.1,0.5,1.2,50,15000,1.0,0.0,0.0,0.9967199999999999,0.0017325126262166186,0.00024501428529781705
BA,4,max,4,0.5,0.1,0.5,1.3,50,15000,1.0,0.0,0.0,0.9967600000000002,0.0016918628786045295,0.0002392655428598111
BA,4,max,4,0.5,0.1,0.5,1.4,50,15000,1.0,0.0,0.0,0.9965600000000001,0.00200159936051149,0.00028306889620726637
BA,4,max,4,0.5,0.1,0.5,1.5,50,15000,1.0,0.0,0.0,0.9965600000000001,0.0017906423428479528,0.0002532350686615108
BA,4,max,4,0.5,0.1,0.5,1.6,50,15000,1.0,0.0,0.0,0.9964400000000001,0.001663249830903345,0.00023521904684782672
BA,4,max,4,0.5,0.1,0.5,1.7,50,15000,1.0,0.0,0.0,0.97708,0.13959209719751328,0.01974130370568266
BA,4,max,4,0.5,0.1,0.5,1.8,50,15000,0.9949774666666668,0.03515773333333326,0.004972054330229654,0.9766399999999998,0.13953261410867354,0.01973289152658576
BA,4,max,4,0.5,0.1,0.5,1.9,50,15000,0.9864995999999999,0.06615869490060314,0.009356252359733667,0.95664,0.19528335925009074,0.027617237515725573
BA,4,max,4,0.5,0.1,0.5,2.0,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9768000000000001,0.139552427424248,0.01973569355254586
BA,4,max,4,0.5,0.1,0.7,1.0,50,15000,1.0,0.0,0.0,0.99676,0.001871470010446335,0.0002646658270347725
BA,4,max,4,0.5,0.1,0.7,1.1,50,15000,1.0,0.0,0.0,0.9963199999999999,0.0024119701490690156,0.0003411040896852458
BA,4,max,4,0.5,0.1,0.7,1.2,50,15000,1.0,0.0,0.0,0.9962800000000002,0.002154437281519239,0.00030468344228067295
BA,4,max,4,0.5,0.1,0.7,1.3,50,15000,1.0,0.0,0.0,0.9968799999999999,0.001750885490259145,0.0002476126006486748
BA,4,max,4,0.5,0.1,0.7,1.4,50,15000,1.0,0.0,0.0,0.9969600000000001,0.0015094369811290578,0.00021346662502602152
BA,4,max,4,0.5,0.1,0.7,1.5,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.97736,0.13962661064424647,0.01974618464412809
BA,4,max,4,0.5,0.1,0.7,1.6,50,15000,1.0,0.0,0.0,0.99708,0.0016104657711357932,0.00022775425352778835
BA,4,max,4,0.5,0.1,0.7,1.7,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.97712,0.13845268361429472,0.019580166291428676
BA,4,max,4,0.5,0.1,0.7,1.8,50,15000,0.9738234666666666,0.1456786439514653,0.020602071402428347,0.9570000000000001,0.19535454947351494,0.02762730533367306
BA,4,max,4,0.5,0.1,0.7,1.9,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.9571600000000001,0.1951828230147315,0.027603019544970075
BA,4,max,4,0.5,0.1,0.7,2.0,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9773999999999999,0.137920121809691,0.01950485067874143
BA,4,max,4,0.5,0.1,1.0,1.0,50,15000,1.0,0.0,0.0,0.99708,0.0015600000000000015,0.00022061731573020304
BA,4,max,4,0.5,0.1,1.0,1.1,50,15000,1.0,0.0,0.0,0.9968400000000002,0.0017476841819962796,0.0002471598672924067
BA,4,max,4,0.5,0.1,1.0,1.2,50,15000,1.0,0.0,0.0,0.9967199999999999,0.001637559159236699,0.00023158583721808224
BA,4,max,4,0.5,0.1,1.0,1.3,50,15000,1.0,0.0,0.0,0.99668,0.0019843386807699955,0.0002806278674686463
BA,4,max,4,0.5,0.1,1.0,1.4,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9771600000000003,0.13874701582376467,0.01962179115167624
BA,4,max,4,0.5,0.1,1.0,1.5,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9768799999999999,0.13842263398736496,0.019575916632433844
BA,4,max,4,0.5,0.1,1.0,1.6,50,15000,1.0,0.0,0.0,0.9768399999999999,0.13955993121236482,0.019736754748438255
BA,4,max,4,0.5,0.1,1.0,1.7,50,15000,1.0,0.0,0.0,0.9965999999999999,0.0019287301521985925,0.0002727636339397173
