Corr,Theta,L,b,C_mean,C_std,V_mean,V_std
max,0.4,1,1.0,0.9739199333333332,0.004165892034126924,0.0102,0.010801851693112622
max,0.4,1,1.1,0.9755977999999996,0.0036816579664910466,0.0054600000000000004,0.005577490475115131
max,0.4,1,1.2,0.9733296666666661,0.009903686827529448,0.00222,0.0034280606762424736
max,0.4,1,1.3,0.6514312666666662,0.037774870973468565,0.001,0.002029778313018444
max,0.4,1,1.4,0.39573773333333334,0.04889015800269919,0.00082,0.0018131740126088283
max,0.4,1,1.5,0.22866246666666673,0.07029921730340329,0.00092,0.001906200409191017
max,0.4,1,1.6,0.0731231333333333,0.04699090661398699,0.00134,0.0023673614003780663
max,0.4,1,1.7,0.04044659999999995,0.02176320012202046,0.0017000000000000003,0.0026589471600616662
max,0.4,1,1.8,0.034172199999999944,0.016834930328338164,0.00188,0.0034388370127122923
max,0.4,1,1.9,0.028646933333333284,0.01353812890140698,0.0018200000000000002,0.0033358057497402333
max,0.4,1,2.0,0.030662066666666602,0.012418832462389083,0.0016200000000000001,0.0028662867965365928
max,0.4,4,1.0,0.9735397999999996,0.004922189617098181,0.0006,0.001562049935181331
max,0.4,4,1.1,0.9750006666666658,0.004470068008431535,0.0004,0.001131370849898476
max,0.4,4,1.2,0.9733106666666659,0.005876906139949823,0.00026000000000000003,0.0008788629017087932
max,0.4,4,1.3,0.6460416666666663,0.045665659048494,0.00032,0.0010476640682967036
max,0.4,4,1.4,0.39907686666666675,0.03630700075075821,0.0004,0.001131370849898476
max,0.4,4,1.5,0.24114146666666675,0.05628235254958307,0.0004,0.0011313708498984758
max,0.4,4,1.6,0.07324519999999997,0.03737423914445175,0.00043999999999999996,0.0012191800523302532
max,0.4,4,1.7,0.04410046666666661,0.020357497952679087,0.00041999999999999996,0.001176265276202609
max,0.4,4,1.8,0.03189299999999994,0.01517138872644455,0.00046000000000000007,0.0012603174203350523
max,0.4,4,1.9,0.028417999999999943,0.012352190826821855,0.00032,0.0010087616170334794
max,0.4,4,2.0,0.028702399999999947,0.011557229022756467,0.00028000000000000003,0.0009389355675444403
max,0.6,1,1.0,0.97402,0.004142414754705592,0.0005,0.0013076696830622019
max,0.6,1,1.1,0.9754069333333331,0.003540505917395864,0.00032,0.0009260669522232179
max,0.6,1,1.2,0.9712798666666663,0.01440165009002642,0.00026000000000000003,0.0007825599018605541
max,0.6,1,1.3,0.6498659333333332,0.042461995942986455,0.00028000000000000003,0.0009389355675444402
max,0.6,1,1.4,0.39553853333333344,0.05515002329871576,0.00028000000000000003,0.0009389355675444402
max,0.6,1,1.5,0.24274740000000006,0.05261149714564936,0.00026000000000000003,0.0009232551110067033
max,0.6,1,1.6,0.07233666666666663,0.04044098512373035,0.00032,0.0010087616170334794
max,0.6,1,1.7,0.04166306666666663,0.020734794276931392,0.00032,0.0010087616170334794
max,0.6,1,1.8,0.03248106666666662,0.014969957729325014,0.00021999999999999998,0.0008897190567814086
max,0.6,1,1.9,0.026268066666666604,0.012992402781625875,0.00024,0.0009068627239003707
max,0.6,1,2.0,0.031155333333333285,0.012841786428167482,0.00026000000000000003,0.0008788629017087932
max,0.6,4,1.0,0.9735797333333328,0.0049904620066684524,0.0,0.0
max,0.6,4,1.1,0.9750648666666656,0.004267137563077118,0.0,0.0
max,0.6,4,1.2,0.974015666666666,0.004284533256053126,0.0,0.0
max,0.6,4,1.3,0.6405313333333331,0.044573721620603746,0.0,0.0
max,0.6,4,1.4,0.40423773333333346,0.04844458657265583,0.0,0.0
max,0.6,4,1.5,0.23162293333333334,0.07282556813720488,0.0,0.0
max,0.6,4,1.6,0.07390659999999998,0.04233111649308476,0.0,0.0
max,0.6,4,1.7,0.041734799999999954,0.02083146584867336,0.0,0.0
max,0.6,4,1.8,0.03290979999999995,0.01378149691772752,0.0,0.0
max,0.6,4,1.9,0.028724933333333272,0.013598072726840537,0.0,0.0
max,0.6,4,2.0,0.030165333333333294,0.01249875592031285,0.0,0.0
nulle,0.2,1,1.0,0.9741996666666668,0.004828540738842989,0.9457199999999999,0.005678168718874065
nulle,0.2,1,1.1,0.97273,0.004451343317846313,0.9440799999999999,0.005365966828074866
nulle,0.2,1,1.2,0.9732230666666664,0.004098694580255802,0.9444199999999999,0.004925809578130271
