Corr,Theta,L,b,C_mean,C_std,V_mean,V_std
max,0.6,4,1.4,1.0,0.0,0.0,0.0
max,0.6,4,1.5,0.9977513333333318,0.0021246051659324677,0.0,0.0
max,0.6,4,1.6,0.9986531333333335,0.004866749173273125,0.0,0.0
max,0.6,4,1.7,0.9756511999999996,0.01845110906344443,0.0,0.0
max,0.6,4,1.8,0.9433486666666657,0.01725767249660294,0.0,0.0
max,0.6,4,1.9,0.8734955333333326,0.1278395843062875,0.0,0.0
max,0.6,4,2.0,0.7211838,0.1301639448123619,0.0,0.0
nulle,0.2,1,1.0,0.9926400000000015,0.0026058395959841717,0.9827800000000001,0.09840320929725818
nulle,0.2,1,1.1,0.9934800000000011,0.0027220580449354094,0.9537200000000001,0.19347827164826542
nulle,0.2,1,1.2,0.9937799333333344,0.0031986410301870234,0.8741800000000001,0.3215374435427389
nulle,0.2,1,1.3,0.9942399333333344,0.003444226924385588,0.8148199999999999,0.38027601502066893
nulle,0.2,1,1.4,0.9951000000000009,0.0034219877264529733,0.78514,0.4046130254947312
nulle,0.2,1,1.5,0.9943296000000005,0.0030895598133053427,0.75546,0.4231894001508072
nulle,0.2,1,1.6,0.9951664666666669,0.004068862080073364,0.69612,0.45442339904542767
nulle,0.2,1,1.7,0.9850445333333336,0.016039106427867503,0.5967600000000001,0.48580611605865975
nulle,0.2,1,1.8,0.9658144000000006,0.028250027614068515,0.43879999999999997,0.49184989580155447
nulle,0.2,1,1.9,0.9320177333333335,0.05367546800060987,0.39846000000000004,0.48551241837876813
nulle,0.2,1,2.0,0.7733409333333339,0.1940660471512391,0.25066,0.42826777184373793
nulle,0.2,4,1.0,0.9925600000000016,0.0024670630312161514,0.8439800000000001,0.3539360953618605
nulle,0.2,4,1.1,0.9943200000000009,0.0035968875434180436,0.7944200000000001,0.39696733316483357
nulle,0.2,4,1.2,0.9952999333333341,0.003681092288980997,0.6953,0.4551851820962541
nulle,0.2,4,1.3,0.9959194000000008,0.003566461438954351,0.65598,0.470701561076655
nulle,0.2,4,1.4,0.9967997333333338,0.003742035443741497,0.4869999999999999,0.49640479449739405
nulle,0.2,4,1.5,0.9962357333333324,0.0030961750625195066,0.42736,0.4920391756760838
nulle,0.2,4,1.6,0.9969530000000006,0.004728070630699283,0.32793999999999995,0.46711133191135495
nulle,0.2,4,1.7,0.9804840000000002,0.01637312024834273,0.29835999999999996,0.45505923834155926
nulle,0.2,4,1.8,0.9491745333333335,0.09901969172680336,0.29819999999999997,0.4552929167030825
nulle,0.2,4,1.9,0.9041687999999999,0.10071978303692132,0.20862000000000003,0.40438879262412797
nulle,0.2,4,2.0,0.7821591999999999,0.13182215813833814,0.1888,0.38982478115173747
nulle,0.4,1,1.0,0.9925000000000017,0.0025514701644347524,0.00172,0.005130458069217601
nulle,0.4,1,1.1,1.0,0.0,0.00102,0.003267965728094467
nulle,0.4,1,1.2,1.0,0.0,0.0011,0.004264973622427224
nulle,0.4,1,1.3,1.0,0.0,0.00018,0.0012679116688476373
nulle,0.4,1,1.4,1.0,0.0,0.0002,0.00128062484748657
nulle,0.4,1,1.5,0.9967957333333314,0.004034938250387206,0.00012,0.0010127191120937733
nulle,0.4,1,1.6,0.9990939333333334,0.0029901668619362574,6e-05,0.000596992462263972
nulle,0.4,1,1.7,0.9788307999999997,0.018193007466973277,0.0,0.0
nulle,0.4,1,1.8,0.9374506666666655,0.014220657087490785,2e-05,0.000198997487421324
nulle,0.4,1,1.9,0.8958979333333323,0.02414948944838691,0.0,0.0
nulle,0.4,1,2.0,0.7213687333333333,0.11079688210091697,0.0,0.0
nulle,0.4,4,1.0,0.9925198000000013,0.002426893479326178,0.0,0.0
nulle,0.4,4,1.1,1.0,0.0,0.0,0.0
nulle,0.4,4,1.2,1.0,0.0,0.0,0.0
nulle,0.4,4,1.3,1.0,0.0,0.0,0.0
nulle,0.4,4,1.4,1.0,0.0,0.0,0.0
nulle,0.4,4,1.5,0.998130799999998,0.0016696333010570341,0.0,0.0
nulle,0.4,4,1.6,0.9986834666666669,0.004380743161712204,0.0,0.0
nulle,0.4,4,1.7,0.9689433999999997,0.09753019961014926,0.0,0.0
nulle,0.4,4,1.8,0.9414665999999993,0.015671557520127673,0.0,0.0
nulle,0.4,4,1.9,0.8902543999999994,0.02448708535298575,0.0,0.0
nulle,0.4,4,2.0,0.7290295333333333,0.10800322752072454,0.0,0.0
nulle,0.6,1,1.0,0.9927000000000017,0.002582634314028808,0.0,0.0
nulle,0.6,1,1.1,1.0,0.0,0.0,0.0
nulle,0.6,1,1.2,1.0,0.0,0.0,0.0
nulle,0.6,1,1.3,1.0,0.0,0.0,0.0
nulle,0.6,1,1.4,1.0,0.0,0.0,0.0
nulle,0.6,1,1.5,0.9979224666666642,0.0016816551780241917,0.0,0.0
nulle,0.6,1,1.6,0.9990264666666667,0.003884358772192763,0.0,0.0
nulle,0.6,1,1.7,0.9777527999999998,0.018086086651960778,0.0,0.0
nulle,0.6,1,1.8,0.9393208666666656,0.01461547367704683,0.0,0.0
nulle,0.6,1,1.9,0.8845729999999993,0.09245608085704472,0.0,0.0
nulle,0.6,1,2.0,0.6985857999999999,0.17941402984817,0.0,0.0
nulle,0.6,4,1.0,0.9926398000000014,0.002447582472562756,0.0,0.0
nulle,0.6,4,1.1,1.0,0.0,0.0,0.0
nulle,0.6,4,1.2,1.0,0.0,0.0,0.0
nulle,0.6,4,1.3,1.0,0.0,0.0,0.0
nulle,0.6,4,1.4,1.0,0.0,0.0,0.0
nulle,0.6,4,1.5,0.9976445333333314,0.0021350386683968467,0.0,0.0
nulle,0.6,4,1.6,0.9993441333333334,0.002690612285542171,0.0,0.0
nulle,0.6,4,1.7,0.9751635999999999,0.018528066168084004,0.0,0.0
nulle,0.6,4,1.8,0.941416799999999,0.015469794697481488,0.0,0.0
nulle,0.6,4,1.9,0.8619530666666662,0.15363493193330433,0.0,0.0
nulle,0.6,4,2.0,0.7041921999999999,0.16367534294465044,0.0,0.0
